"id";"screen_name";"description";"created_at";"location";"is_verified";"latest_following_count";"latest_followers_count";"latest_status_count";"array_agg"
1155335864;"RepDonaldPayne";"Proudly serving New Jersey's 10th Congressional District";"2013-02-06 22:52:35";"www.facebook.com/DonaldPayneJr";t;960;7986;3683;"{congressperson,Democrat,democrat}"
24735461;"PeteSessions";"I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.";"2009-03-16 17:54:52";"";t;811;24957;5145;"{congressperson,Republican,republican}"
18909919;"JimLangevin";"Congressman for Rhode Island's   Second District";"2009-01-12 18:36:58";"Warwick, RI and Washington, DC";t;4299;16811;8313;"{congressperson,Democrat,democrat}"
2696643955;"RepMoolenaar";"Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.";"2014-07-31 21:09:14";"";t;328;4243;602;"{congressperson,Republican,republican}"
20597460;"SenBillNelson";"U.S. Sen. Bill Nelson is the senior senator from the state of Florida.";"2009-02-11 15:44:25";"Florida/ Washington, D.C.";t;101;58072;589;"{democrat,senator,Democrat}"
39525554;"GovernorBentley";"Governor of Alabama. Won't accept a paycheck until AL reaches Full Employment. Physician. Dad. Papa. Great people make Alabama a #GreatState Tweets by Gov- GRB";"2009-05-12 15:44:35";"Montgomery, AL";t;529;42244;7049;"{Governor,Republican}"
234014087;"RepWilson";"Former educator & state legislator; founder & chair of FL Ports Caucus; founder of 5000 Role Models Project, a dropout prevention program for boys of color";"2011-01-04 17:08:09";"Washington DC";t;2968;16854;8018;"{congressperson,Democrat,democrat}"
56864092;"RepMikeQuigley";"#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC";"2009-07-15 00:10:43";"Chicago, IL; Washington, DC";t;2177;19702;7996;"{congressperson,Democrat,democrat}"
48117116;"SteveKingIA";"Representing the 4th District of Iowa #IA04";"2009-06-17 21:09:41";"Washington, DC";t;122;50937;1759;"{congressperson,Republican,republican}"
172858784;"timkaine";"U.S. Senator from Virginia. Husband and father of 3. Avid reader and outdoorsman. Bluegrass and harmonica enthusiast.";"2010-07-30 20:00:32";"";t;744;526879;7722;"{senator,Democrat,democrat}"
30231573;"bennydiego";"🇺🇸 The power of the people is always stronger than the people in power. 📎 #Resistance ❄ Snowflakes are Beautiful ❄️ #TuckFrump 💩 #NotNormal 🎪";"2009-04-10 14:59:49";"";f;53836;56171;51566;"{democrat}"
94492750;"jbspharmd";"Human, Father, Husband, Healthcare Professional
#UniteBlue, #SinglePayer, #GetMoneyOut, #ClimateAction, #FeelTheBern, #HumanRights #BlackLivesMatter #NoDAPL";"2009-12-04 05:12:44";"";f;13412;13733;22762;"{democrat}"
161791703;"BobbyScott";"Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.";"2010-07-01 19:57:00";"Newport News, VA";t;2712;20617;3656;"{congressperson,Democrat,democrat}"
158398519;"RepSamFarr";"Honored to serve CA's Central Coast in Congress. Returned @PeaceCorps Volunteer, amateur photographer & top Dem on House Agriculture Appropriations Subcommittee";"2010-06-22 15:30:19";"";t;1122;14531;3050;"{congressperson,Democrat}"
131546062;"FLGovScott";"Florida's 45th Governor - My goal is to make Florida first in job creation.";"2010-04-10 16:03:04";"The Sunshine State";t;5618;87698;7223;"{Governor,Republican}"
2933760046;"RepComstock";"Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom";"2014-12-20 15:03:37";"Virginia's 10th CD";t;633;7654;1971;"{congressperson,Republican,republican}"
88784440;"SenMikeLee";"I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!";"2009-11-09 22:47:47";"Utah";t;2424;302603;4068;"{senator,Republican,republican}"
240760644;"RepGosar";"Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.";"2011-01-20 17:44:27";"";t;4537;22902;6892;"{congressperson,Republican,republican}"
733672650120253440;"JRutherfordFL";"Congressman FL-04";"2016-05-20 14:56:05";"";f;327;1116;346;"{congressperson,republican}"
976969338;"RepDaveJoyce";"Father, husband, and former prosecutor proudly representing #OH14";"2012-11-28 21:12:14";" Washington, DC";t;2589;10032;3050;"{congressperson,Republican,republican}"
787373558;"RepCummings";"U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.";"2012-08-28 16:37:01";"Baltimore, MD";t;1609;71212;4729;"{congressperson,Democrat,democrat}"
2891165960;"GovRicketts";"40th Governor of Nebraska";"2014-11-05 21:15:44";"Nebraska";t;756;7513;2257;"{Governor,Republican}"
3018670151;"RepPeteAguilar";"Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.";"2015-02-04 21:01:23";"San Bernardino, CA";t;198;5192;939;"{congressperson,Democrat,democrat}"
1058717720;"RepAnnieKuster";"Honored to serve the people of New Hampshire’s Second District in Congress.";"2013-01-03 20:29:22";"NH's 2nd District";t;2515;10775;2440;"{congressperson,Democrat,democrat}"
11651202;"SteveDaines";"Serving the people of Montana in the U.S. Senate.";"2007-12-30 05:52:03";"Bozeman, MT";t;651;12816;4042;"{senator,Republican,republican}"
950783972;"RepBera";"Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.";"2012-11-16 01:39:54";"Elk Grove, California";t;125;17992;2341;"{congressperson,Democrat,democrat}"
82453460;"BennieGThompson";"";"2009-10-14 20:47:03";"Bolton, Mississippi";t;428;6488;750;"{congressperson,Democrat,democrat}"
299883942;"CongPalazzo";"I proudly represent the Fourth Congressional District of Mississippi. For more information on my work in Congress please visit http://t.co/Ue63OYLp.";"2011-05-16 20:52:25";"Mississippi ";t;1675;10229;1999;"{congressperson,Republican,republican}"
267938462;"RepZoeLofgren";"Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy";"2011-03-17 21:06:21";"";t;104;19447;1712;"{congressperson,Democrat,democrat}"
